#Title,Digilent WaveForms Oscilloscope Data
#Device Name,Analog Discovery
#Serial Number,SN:210244659266
#Software Version,2.7.5
Time (s),C1 (V),C2 (V)
-4.93,0.0174799704145642,0.702176126476321
-4.92875,0.0171428570258858,0.701508470726759
-4.9275,0.0161315168598504,0.701174642851978
-4.92625,0.0157944034711719,0.700840814977196
-4.925,0.0157944034711719,0.700840814977196
-4.92375,0.0157944034711719,0.700840814977196
-4.9225,0.0161315168598504,0.701174642851978
-4.92125,0.0168057436372073,0.701508470726759
-4.92,0.0174799704145642,0.702176126476321
-4.91875,0.0181541971919211,0.702509954351102
-4.9175,0.0184913105805996,0.702843782225884
-4.91625,0.0184913105805996,0.702843782225884
-4.915,0.0181541971919211,0.702509954351102
-4.91375,0.0178170838032427,0.702176126476321
-4.9125,0.0171428570258858,0.70184229860154
-4.91125,0.0164686302485289,0.701174642851978
-4.91,0.0157944034711719,0.700840814977196
-4.90875,0.0157944034711719,0.700840814977196
-4.9075,0.0157944034711719,0.700840814977196
-4.90625,0.0161315168598504,0.701174642851978
-4.905,0.0168057436372073,0.701508470726759
-4.90375,0.0171428570258858,0.70184229860154
-4.9025,0.0181541971919211,0.702509954351102
-4.90125,0.0181541971919211,0.702843782225884
-4.9,0.0184913105805996,0.702843782225884
-4.89875,0.0181541971919211,0.702843782225884
-4.8975,0.0178170838032427,0.702509954351102
-4.89625,0.0171428570258858,0.70184229860154
-4.895,0.0164686302485289,0.701508470726759
-4.89375,0.0157944034711719,0.700840814977196
-4.8925,0.0154572900824935,0.700840814977196
-4.89125,0.0154572900824935,0.700840814977196
-4.89,0.0157944034711719,0.700840814977196
-4.88875,0.0164686302485289,0.701508470726759
-4.8875,0.0168057436372073,0.70184229860154
-4.88625,0.0174799704145642,0.702509954351102
-4.885,0.0181541971919211,0.702843782225884
-4.88375,0.0181541971919211,0.702843782225884
-4.8825,0.0181541971919211,0.702843782225884
-4.88125,0.0178170838032427,0.702509954351102
-4.88,0.0174799704145642,0.702176126476321
-4.87875,0.0168057436372073,0.701508470726759
-4.8775,0.0157944034711719,0.701174642851978
-4.87625,0.0157944034711719,0.700840814977196
-4.875,0.0154572900824935,0.700840814977196
-4.87375,0.0157944034711719,0.700840814977196
-4.8725,0.0161315168598504,0.701174642851978
-4.87125,0.0168057436372073,0.701508470726759
-4.87,0.0174799704145642,0.702176126476321
-4.86875,0.0181541971919211,0.702509954351102
-4.8675,0.0181541971919211,0.702843782225884
-4.86625,0.0181541971919211,0.702843782225884
-4.865,0.0181541971919211,0.702509954351102
-4.86375,0.0174799704145642,0.702176126476321
-4.8625,0.0168057436372073,0.70184229860154
-4.86125,0.0161315168598504,0.701174642851978
-4.86,0.0154572900824935,0.700840814977196
-4.85875,0.0154572900824935,0.700840814977196
-4.8575,0.0154572900824935,0.700840814977196
-4.85625,0.0157944034711719,0.701174642851978
-4.855,0.0164686302485289,0.701508470726759
-4.85375,0.0168057436372073,0.70184229860154
-4.8525,0.0178170838032427,0.702509954351102
-4.85125,0.0181541971919211,0.702843782225884
-4.85,0.0181541971919211,0.702843782225884
-4.84875,0.0178170838032427,0.702843782225884
-4.8475,0.0174799704145642,0.702509954351102
-4.84625,0.0168057436372073,0.70184229860154
-4.845,0.0164686302485289,0.701508470726759
-4.84375,0.0154572900824935,0.700840814977196
-4.8425,0.0154572900824935,0.700840814977196
-4.84125,0.0154572900824935,0.700840814977196
-4.84,0.0154572900824935,0.700840814977196
-4.83875,0.0161315168598504,0.701174642851978
-4.8375,0.0164686302485289,0.70184229860154
-4.83625,0.0171428570258858,0.702176126476321
-4.835,0.0178170838032427,0.702509954351102
-4.83375,0.0178170838032427,0.702843782225884
-4.8325,0.0178170838032427,0.702843782225884
-4.83125,0.0174799704145642,0.702509954351102
-4.83,0.0171428570258858,0.702176126476321
-4.82875,0.0164686302485289,0.70184229860154
-4.8275,0.0157944034711719,0.701174642851978
-4.82625,0.015120176693815,0.700840814977196
-4.825,0.015120176693815,0.700840814977196
-4.82375,0.0154572900824935,0.700840814977196
-4.8225,0.0157944034711719,0.701174642851978
-4.82125,0.0164686302485289,0.701508470726759
-4.82,0.0168057436372073,0.702176126476321
-4.81875,0.0178170838032427,0.702509954351102
-4.8175,0.0178170838032427,0.702843782225884
-4.81625,0.0178170838032427,0.702843782225884
-4.815,0.0174799704145642,0.702509954351102
-4.81375,0.0171428570258858,0.702176126476321
-4.8125,0.0164686302485289,0.70184229860154
-4.81125,0.0157944034711719,0.701174642851978
-4.81,0.015120176693815,0.700840814977196
-4.80875,0.015120176693815,0.700840814977196
-4.8075,0.015120176693815,0.700840814977196
-4.80625,0.0154572900824935,0.700840814977196
-4.805,0.0161315168598504,0.701508470726759
-4.80375,0.0164686302485289,0.70184229860154
-4.8025,0.0171428570258858,0.702509954351102
-4.80125,0.0174799704145642,0.702509954351102
-4.8,0.0178170838032427,0.702843782225884
-4.79875,0.0174799704145642,0.702509954351102
-4.7975,0.0171428570258858,0.702176126476321
-4.79625,0.0164686302485289,0.70184229860154
-4.795,0.0157944034711719,0.701508470726759
-4.79375,0.015120176693815,0.700840814977196
-4.7925,0.015120176693815,0.700840814977196
-4.79125,0.0147830633051366,0.700840814977196
-4.79,0.015120176693815,0.700840814977196
-4.78875,0.0157944034711719,0.701174642851978
-4.7875,0.0161315168598504,0.701508470726759
-4.78625,0.0171428570258858,0.702176126476321
-4.785,0.0174799704145642,0.702509954351102
-4.78375,0.0174799704145642,0.702509954351102
-4.7825,0.0174799704145642,0.702509954351102
-4.78125,0.0171428570258858,0.702509954351102
-4.78,0.0164686302485289,0.702176126476321
-4.77875,0.0161315168598504,0.701508470726759
-4.7775,0.015120176693815,0.700840814977196
-4.77625,0.0147830633051366,0.700840814977196
-4.775,0.0147830633051366,0.700840814977196
-4.77375,0.0147830633051366,0.700840814977196
-4.7725,0.0154572900824935,0.701174642851978
-4.77125,0.0157944034711719,0.701508470726759
-4.77,0.0164686302485289,0.70184229860154
-4.76875,0.0171428570258858,0.702509954351102
-4.7675,0.0174799704145642,0.702509954351102
-4.76625,0.0174799704145642,0.702509954351102
-4.765,0.0171428570258858,0.702509954351102
-4.76375,0.0168057436372073,0.702176126476321
-4.7625,0.0161315168598504,0.70184229860154
-4.76125,0.0154572900824935,0.701174642851978
-4.76,0.0147830633051366,0.700840814977196
-4.75875,0.0147830633051366,0.700506987102415
-4.7575,0.0147830633051366,0.700506987102415
-4.75625,0.015120176693815,0.700840814977196
-4.755,0.0154572900824935,0.701174642851978
-4.75375,0.0161315168598504,0.70184229860154
-4.7525,0.0171428570258858,0.702176126476321
-4.75125,0.0174799704145642,0.702509954351102
-4.75,0.0174799704145642,0.702509954351102
-4.74875,0.0171428570258858,0.702509954351102
-4.7475,0.0168057436372073,0.702176126476321
-4.74625,0.0161315168598504,0.70184229860154
-4.745,0.0154572900824935,0.701174642851978
-4.74375,0.0147830633051366,0.700840814977196
-4.7425,0.0144459499164581,0.700840814977196
-4.74125,0.0144459499164581,0.700506987102415
-4.74,0.0147830633051366,0.700840814977196
-4.73875,0.015120176693815,0.701174642851978
-4.7375,0.0157944034711719,0.701508470726759
-4.73625,0.0164686302485289,0.702176126476321
-4.735,0.0171428570258858,0.702509954351102
-4.73375,0.0171428570258858,0.702509954351102
-4.7325,0.0171428570258858,0.702509954351102
-4.73125,0.0168057436372073,0.702176126476321
-4.73,0.0161315168598504,0.70184229860154
-4.72875,0.0154572900824935,0.701508470726759
-4.7275,0.0147830633051366,0.700840814977196
-4.72625,0.0144459499164581,0.700506987102415
-4.725,0.0144459499164581,0.700506987102415
-4.72375,0.0144459499164581,0.700840814977196
-4.7225,0.0147830633051366,0.700840814977196
-4.72125,0.0154572900824935,0.701508470726759
-4.72,0.0161315168598504,0.70184229860154
-4.71875,0.0168057436372073,0.702509954351102
-4.7175,0.0171428570258858,0.702509954351102
-4.71625,0.0171428570258858,0.702509954351102
-4.715,0.0168057436372073,0.702509954351102
-4.71375,0.0161315168598504,0.70184229860154
-4.7125,0.0157944034711719,0.701508470726759
-4.71125,0.0147830633051366,0.701174642851978
-4.71,0.0144459499164581,0.700506987102415
-4.70875,0.0141088365277797,0.700506987102415
-4.7075,0.0141088365277797,0.700506987102415
-4.70625,0.0144459499164581,0.700840814977196
-4.705,0.015120176693815,0.701174642851978
-4.70375,0.0154572900824935,0.701508470726759
-4.7025,0.0164686302485289,0.702176126476321
-4.70125,0.0168057436372073,0.702509954351102
-4.7,0.0168057436372073,0.702509954351102
-4.69875,0.0168057436372073,0.702509954351102
-4.6975,0.0164686302485289,0.702176126476321
-4.69625,0.0157944034711719,0.701508470726759
-4.695,0.015120176693815,0.701174642851978
-4.69375,0.0141088365277797,0.700506987102415
-4.6925,0.0141088365277797,0.700506987102415
-4.69125,0.0141088365277797,0.700506987102415
-4.69,0.0141088365277797,0.700506987102415
-4.68875,0.0147830633051366,0.700840814977196
-4.6875,0.015120176693815,0.701508470726759
-4.68625,0.0161315168598504,0.70184229860154
-4.685,0.0164686302485289,0.702176126476321
-4.68375,0.0168057436372073,0.702509954351102
-4.6825,0.0164686302485289,0.702509954351102
-4.68125,0.0161315168598504,0.702176126476321
-4.68,0.0157944034711719,0.70184229860154
-4.67875,0.015120176693815,0.701174642851978
-4.6775,0.0141088365277797,0.700840814977196
-4.67625,0.0137717231391012,0.700506987102415
-4.675,0.0137717231391012,0.700173159227634
-4.67375,0.0137717231391012,0.700506987102415
-4.6725,0.0141088365277797,0.700840814977196
-4.67125,0.0147830633051366,0.701174642851978
-4.67,0.0154572900824935,0.70184229860154
-4.66875,0.0161315168598504,0.702176126476321
-4.6675,0.0164686302485289,0.702509954351102
-4.66625,0.0164686302485289,0.702509954351102
-4.665,0.0161315168598504,0.702176126476321
-4.66375,0.0157944034711719,0.70184229860154
-4.6625,0.015120176693815,0.701508470726759
-4.66125,0.0144459499164581,0.700840814977196
-4.66,0.0137717231391012,0.700506987102415
-4.65875,0.0137717231391012,0.700173159227634
-4.6575,0.0137717231391012,0.700173159227634
-4.65625,0.0141088365277797,0.700506987102415
-4.655,0.0147830633051366,0.700840814977196
-4.65375,0.015120176693815,0.701508470726759
-4.6525,0.0157944034711719,0.70184229860154
-4.65125,0.0161315168598504,0.702176126476321
-4.65,0.0164686302485289,0.702176126476321
-4.64875,0.0161315168598504,0.702176126476321
-4.6475,0.0157944034711719,0.70184229860154
-4.64625,0.015120176693815,0.701508470726759
-4.645,0.0144459499164581,0.700840814977196
-4.64375,0.0137717231391012,0.700506987102415
-4.6425,0.0134346097504228,0.700173159227634
-4.64125,0.0134346097504228,0.700173159227634
-4.64,0.0137717231391012,0.700506987102415
-4.63875,0.0141088365277797,0.700840814977196
-4.6375,0.0147830633051366,0.701174642851978
-4.63625,0.0154572900824935,0.70184229860154
-4.635,0.0157944034711719,0.702176126476321
-4.63375,0.0161315168598504,0.702176126476321
-4.6325,0.0161315168598504,0.702176126476321
-4.63125,0.0157944034711719,0.70184229860154
-4.63,0.015120176693815,0.701508470726759
-4.62875,0.0144459499164581,0.701174642851978
-4.6275,0.0137717231391012,0.700506987102415
-4.62625,0.0134346097504228,0.700173159227634
-4.625,0.0134346097504228,0.700173159227634
-4.62375,0.0134346097504228,0.700173159227634
-4.6225,0.0137717231391012,0.700506987102415
-4.62125,0.0144459499164581,0.700840814977196
-4.62,0.0147830633051366,0.701508470726759
-4.61875,0.0157944034711719,0.70184229860154
-4.6175,0.0157944034711719,0.702176126476321
-4.61625,0.0157944034711719,0.702176126476321
-4.615,0.0157944034711719,0.70184229860154
-4.61375,0.015120176693815,0.701508470726759
-4.6125,0.0144459499164581,0.701174642851978
-4.61125,0.0137717231391012,0.700506987102415
-4.61,0.0130974963617443,0.700173159227634
-4.60875,0.0130974963617443,0.700173159227634
-4.6075,0.0130974963617443,0.699839331352853
-4.60625,0.0134346097504228,0.700173159227634
-4.605,0.0141088365277797,0.700840814977196
-4.60375,0.0144459499164581,0.701174642851978
-4.6025,0.015120176693815,0.70184229860154
-4.60125,0.0157944034711719,0.70184229860154
-4.6,0.0157944034711719,0.702176126476321
-4.59875,0.0154572900824935,0.70184229860154
-4.5975,0.015120176693815,0.701508470726759
-4.59625,0.0144459499164581,0.701174642851978
-4.595,0.0137717231391012,0.700840814977196
-4.59375,0.0130974963617443,0.700173159227634
-4.5925,0.0127603829730659,0.700173159227634
-4.59125,0.0127603829730659,0.699839331352853
-4.59,0.0130974963617443,0.700173159227634
-4.58875,0.0134346097504228,0.700506987102415
-4.5875,0.0141088365277797,0.700840814977196
-4.58625,0.0147830633051366,0.701508470726759
-4.585,0.0154572900824935,0.70184229860154
-4.58375,0.0154572900824935,0.70184229860154
-4.5825,0.0154572900824935,0.70184229860154
-4.58125,0.015120176693815,0.70184229860154
-4.58,0.0144459499164581,0.701174642851978
-4.57875,0.0137717231391012,0.700840814977196
-4.5775,0.0130974963617443,0.700173159227634
-4.57625,0.0127603829730659,0.699839331352853
-4.575,0.0127603829730659,0.699839331352853
-4.57375,0.0127603829730659,0.699839331352853
-4.5725,0.0130974963617443,0.700173159227634
-4.57125,0.0137717231391012,0.700840814977196
-4.57,0.0141088365277797,0.701174642851978
-4.56875,0.015120176693815,0.701508470726759
-4.5675,0.015120176693815,0.70184229860154
-4.56625,0.015120176693815,0.70184229860154
-4.565,0.015120176693815,0.701508470726759
-4.56375,0.0144459499164581,0.701174642851978
-4.5625,0.0137717231391012,0.700840814977196
-4.56125,0.0130974963617443,0.700173159227634
-4.56,0.0124232695843874,0.699839331352853
-4.55875,0.0124232695843874,0.699839331352853
-4.5575,0.0124232695843874,0.699839331352853
-4.55625,0.0127603829730659,0.699839331352853
-4.555,0.0130974963617443,0.700506987102415
-4.55375,0.0137717231391012,0.700840814977196
-4.5525,0.0147830633051366,0.701174642851978
-4.55125,0.015120176693815,0.701508470726759
-4.55,0.015120176693815,0.701508470726759
-4.54875,0.0147830633051366,0.701508470726759
-4.5475,0.0144459499164581,0.701174642851978
-4.54625,0.0137717231391012,0.700840814977196
-4.545,0.0130974963617443,0.700173159227634
-4.54375,0.0124232695843874,0.699839331352853
-4.5425,0.012086156195709,0.699505503478071
-4.54125,0.012086156195709,0.699505503478071
-4.54,0.0124232695843874,0.699839331352853
-4.53875,0.0127603829730659,0.700173159227634
-4.5375,0.0134346097504228,0.700506987102415
-4.53625,0.0141088365277797,0.701174642851978
-4.535,0.0147830633051366,0.701508470726759
-4.53375,0.0147830633051366,0.701508470726759
-4.5325,0.0147830633051366,0.701508470726759
-4.53125,0.0144459499164581,0.701174642851978
-4.53,0.0137717231391012,0.700840814977196
-4.52875,0.0134346097504228,0.700506987102415
-4.5275,0.0124232695843874,0.699839331352853
-4.52625,0.012086156195709,0.699505503478071
-4.525,0.012086156195709,0.699505503478071
-4.52375,0.012086156195709,0.699505503478071
-4.5225,0.0124232695843874,0.699839331352853
-4.52125,0.0130974963617443,0.700506987102415
-4.52,0.0137717231391012,0.700840814977196
-4.51875,0.0144459499164581,0.701508470726759
-4.5175,0.0144459499164581,0.701508470726759
-4.51625,0.0144459499164581,0.701508470726759
-4.515,0.0144459499164581,0.701508470726759
-4.51375,0.0137717231391012,0.700840814977196
-4.5125,0.0130974963617443,0.700506987102415
-4.51125,0.0124232695843874,0.699839331352853
-4.51,0.0117490428070305,0.699505503478071
-4.50875,0.0117490428070305,0.699505503478071
-4.5075,0.0117490428070305,0.699505503478071
-4.50625,0.012086156195709,0.699839331352853
-4.505,0.0124232695843874,0.700173159227634
-4.50375,0.0130974963617443,0.700506987102415
-4.5025,0.0137717231391012,0.701174642851978
-4.50125,0.0141088365277797,0.701508470726759
-4.5,0.0144459499164581,0.701508470726759
-4.49875,0.0141088365277797,0.701174642851978
-4.4975,0.0137717231391012,0.701174642851978
-4.49625,0.0130974963617443,0.700506987102415
-4.495,0.0124232695843874,0.700173159227634
-4.49375,0.0117490428070305,0.699505503478071
-4.4925,0.0117490428070305,0.699505503478071
-4.49125,0.0114119294183521,0.69917167560329
-4.49,0.0117490428070305,0.699505503478071
-4.48875,0.012086156195709,0.699839331352853
-4.4875,0.0127603829730659,0.700173159227634
-4.48625,0.0134346097504228,0.700840814977196
-4.485,0.0141088365277797,0.701174642851978
-4.48375,0.0141088365277797,0.701174642851978
-4.4825,0.0141088365277797,0.701174642851978
-4.48125,0.0137717231391012,0.701174642851978
-4.48,0.0130974963617443,0.700506987102415
-4.47875,0.0124232695843874,0.700173159227634
-4.4775,0.0117490428070305,0.699505503478071
-4.47625,0.0114119294183521,0.699505503478071
-4.475,0.0110748160296736,0.69917167560329
-4.47375,0.0114119294183521,0.69917167560329
-4.4725,0.0117490428070305,0.699505503478071
-4.47125,0.0124232695843874,0.699839331352853
-4.47,0.0127603829730659,0.700506987102415
-4.46875,0.0137717231391012,0.700840814977196
-4.4675,0.0137717231391012,0.701174642851978
-4.46625,0.0137717231391012,0.701174642851978
-4.465,0.0134346097504228,0.700840814977196
-4.46375,0.0130974963617443,0.700506987102415
-4.4625,0.0124232695843874,0.700173159227634
-4.46125,0.0117490428070305,0.699839331352853
-4.46,0.0110748160296736,0.69917167560329
-4.45875,0.0110748160296736,0.69917167560329
-4.4575,0.0110748160296736,0.69917167560329
-4.45625,0.0114119294183521,0.699505503478071
-4.455,0.0117490428070305,0.699839331352853
-4.45375,0.0124232695843874,0.700173159227634
-4.4525,0.0130974963617443,0.700840814977196
-4.45125,0.0137717231391012,0.701174642851978
-4.45,0.0137717231391012,0.701174642851978
-4.44875,0.0134346097504228,0.700840814977196
-4.4475,0.0130974963617443,0.700506987102415
-4.44625,0.0124232695843874,0.700173159227634
-4.445,0.0117490428070305,0.699839331352853
-4.44375,0.0110748160296736,0.69917167560329
-4.4425,0.0107377026409952,0.69917167560329
-4.44125,0.0107377026409952,0.69917167560329
-4.44,0.0107377026409952,0.69917167560329
-4.43875,0.0114119294183521,0.699505503478071
-4.4375,0.012086156195709,0.699839331352853
-4.43625,0.0127603829730659,0.700506987102415
-4.435,0.0130974963617443,0.700840814977196
-4.43375,0.0134346097504228,0.700840814977196
-4.4325,0.0130974963617443,0.700840814977196
-4.43125,0.0127603829730659,0.700840814977196
-4.43,0.0124232695843874,0.700173159227634
-4.42875,0.0117490428070305,0.699839331352853
-4.4275,0.0110748160296736,0.69917167560329
-4.42625,0.0104005892523167,0.698837847728509
-4.425,0.0104005892523167,0.698837847728509
-4.42375,0.0104005892523167,0.698837847728509
-4.4225,0.0110748160296736,0.69917167560329
-4.42125,0.0117490428070305,0.699839331352853
-4.42,0.012086156195709,0.700173159227634
-4.41875,0.0127603829730659,0.700506987102415
-4.4175,0.0130974963617443,0.700840814977196
-4.41625,0.0130974963617443,0.700840814977196
-4.415,0.0127603829730659,0.700840814977196
-4.41375,0.0124232695843874,0.700173159227634
-4.4125,0.0117490428070305,0.699839331352853
-4.41125,0.0110748160296736,0.69917167560329
-4.41,0.0104005892523167,0.698837847728509
-4.40875,0.0104005892523167,0.698837847728509
-4.4075,0.0104005892523167,0.698837847728509
-4.40625,0.0107377026409952,0.69917167560329
-4.405,0.0110748160296736,0.699505503478071
-4.40375,0.0117490428070305,0.699839331352853
-4.4025,0.0124232695843874,0.700506987102415
-4.40125,0.0127603829730659,0.700506987102415
-4.4,0.0127603829730659,0.700840814977196
-4.39875,0.0127603829730659,0.700506987102415
-4.3975,0.0124232695843874,0.700506987102415
-4.39625,0.0117490428070305,0.699839331352853
-4.395,0.0110748160296736,0.699505503478071
-4.39375,0.0104005892523167,0.698837847728509
-4.3925,0.0100634758636383,0.698837847728509
-4.39125,0.0100634758636383,0.698504019853728
-4.39,0.0100634758636383,0.698837847728509
-4.38875,0.0107377026409952,0.69917167560329
-4.3875,0.0110748160296736,0.699505503478071
-4.38625,0.0117490428070305,0.700173159227634
-4.385,0.0124232695843874,0.700506987102415
-4.38375,0.0124232695843874,0.700506987102415
-4.3825,0.0124232695843874,0.700506987102415
-4.38125,0.0124232695843874,0.700506987102415
-4.38,0.0117490428070305,0.699839331352853
-4.37875,0.0110748160296736,0.699505503478071
-4.3775,0.0104005892523167,0.698837847728509
-4.37625,0.0100634758636383,0.698504019853728
-4.375,0.00972636247495984,0.698504019853728
-4.37375,0.00972636247495984,0.698504019853728
-4.3725,0.0100634758636383,0.698837847728509
-4.37125,0.0107377026409952,0.69917167560329
-4.37,0.0114119294183521,0.699839331352853
-4.36875,0.012086156195709,0.700173159227634
-4.3675,0.0124232695843874,0.700506987102415
-4.36625,0.0124232695843874,0.700506987102415
-4.365,0.012086156195709,0.700173159227634
-4.36375,0.0117490428070305,0.699839331352853
-4.3625,0.0110748160296736,0.699505503478071
-4.36125,0.0104005892523167,0.698837847728509
-4.36,0.00972636247495984,0.698504019853728
-4.35875,0.00938924908628139,0.698504019853728
-4.3575,0.00938924908628139,0.698504019853728
-4.35625,0.00972636247495984,0.698504019853728
-4.355,0.0104005892523167,0.698837847728509
-4.35375,0.0107377026409952,0.699505503478071
-4.3525,0.0117490428070305,0.699839331352853
-4.35125,0.012086156195709,0.700173159227634
-4.35,0.012086156195709,0.700173159227634
-4.34875,0.012086156195709,0.700173159227634
-4.3475,0.0114119294183521,0.699839331352853
-4.34625,0.0110748160296736,0.699505503478071
-4.345,0.0104005892523167,0.698837847728509
-4.34375,0.00938924908628139,0.698504019853728
-4.3425,0.00938924908628139,0.698170191978946
-4.34125,0.00905213569760294,0.698170191978946
-4.34,0.00938924908628139,0.698170191978946
-4.33875,0.00972636247495984,0.698837847728509
-4.3375,0.0104005892523167,0.69917167560329
-4.33625,0.0110748160296736,0.699505503478071
-4.335,0.0117490428070305,0.700173159227634
-4.33375,0.0117490428070305,0.700173159227634
-4.3325,0.0117490428070305,0.700173159227634
-4.33125,0.0114119294183521,0.699839331352853
-4.33,0.0107377026409952,0.699505503478071
-4.32875,0.0104005892523167,0.698837847728509
-4.3275,0.00938924908628139,0.698504019853728
-4.32625,0.00905213569760294,0.698170191978946
-4.325,0.00905213569760294,0.698170191978946
-4.32375,0.00905213569760294,0.698170191978946
-4.3225,0.00938924908628139,0.698504019853728
-4.32125,0.0100634758636383,0.698837847728509
-4.32,0.0107377026409952,0.699505503478071
-4.31875,0.0114119294183521,0.699839331352853
-4.3175,0.0114119294183521,0.700173159227634
-4.31625,0.0114119294183521,0.700173159227634
-4.315,0.0114119294183521,0.699839331352853
-4.31375,0.0107377026409952,0.699505503478071
-4.3125,0.0100634758636383,0.69917167560329
-4.31125,0.00938924908628139,0.698504019853728
-4.31,0.00871502230892449,0.698170191978946
-4.30875,0.00871502230892449,0.697836364104165
-4.3075,0.00871502230892449,0.697836364104165
-4.30625,0.00905213569760294,0.698170191978946
-4.305,0.00938924908628139,0.698504019853728
-4.30375,0.0100634758636383,0.698837847728509
-4.3025,0.0107377026409952,0.699505503478071
-4.30125,0.0114119294183521,0.699839331352853
-4.3,0.0114119294183521,0.699839331352853
-4.29875,0.0110748160296736,0.699839331352853
-4.2975,0.0107377026409952,0.699505503478071
-4.29625,0.0100634758636383,0.698837847728509
-4.295,0.00938924908628139,0.698504019853728
-4.29375,0.00871502230892449,0.697836364104165
-4.2925,0.00837790892024604,0.697836364104165
-4.29125,0.00837790892024604,0.697836364104165
-4.29,0.00837790892024604,0.697836364104165
-4.28875,0.00905213569760294,0.698170191978946
-4.2875,0.00938924908628139,0.698504019853728
-4.28625,0.0104005892523167,0.69917167560329
-4.285,0.0110748160296736,0.699505503478071
-4.28375,0.0110748160296736,0.699505503478071
-4.2825,0.0107377026409952,0.699839331352853
-4.28125,0.0107377026409952,0.699505503478071
-4.28,0.0100634758636383,0.69917167560329
-4.27875,0.00938924908628139,0.698504019853728
-4.2775,0.00871502230892449,0.698170191978946
-4.27625,0.00837790892024604,0.697836364104165
-4.275,0.00804079553156759,0.697502536229384
-4.27375,0.00837790892024604,0.697836364104165
-4.2725,0.00837790892024604,0.697836364104165
-4.27125,0.00905213569760294,0.698504019853728
-4.27,0.00972636247495984,0.698837847728509
-4.26875,0.0104005892523167,0.699505503478071
-4.2675,0.0107377026409952,0.699505503478071
-4.26625,0.0107377026409952,0.699505503478071
-4.265,0.0104005892523167,0.699505503478071
-4.26375,0.0100634758636383,0.69917167560329
-4.2625,0.00938924908628139,0.698837847728509
-4.26125,0.00871502230892449,0.698170191978946
-4.26,0.00804079553156759,0.697836364104165
-4.25875,0.00804079553156759,0.697502536229384
-4.2575,0.00804079553156759,0.697502536229384
-4.25625,0.00804079553156759,0.697836364104165
-4.255,0.00871502230892449,0.698170191978946
-4.25375,0.00938924908628139,0.698504019853728
-4.2525,0.0100634758636383,0.69917167560329
-4.25125,0.0104005892523167,0.699505503478071
-4.25,0.0104005892523167,0.699505503478071
-4.24875,0.0104005892523167,0.699505503478071
-4.2475,0.0100634758636383,0.69917167560329
-4.24625,0.00938924908628139,0.698504019853728
-4.245,0.00871502230892449,0.698170191978946
-4.24375,0.00804079553156759,0.697502536229384
-4.2425,0.00770368214288913,0.697502536229384
-4.24125,0.00770368214288913,0.697168708354603
-4.24,0.00770368214288913,0.697502536229384
-4.23875,0.00837790892024604,0.697836364104165
